customer_id,total_spent,total_orders,total_units,first_purchase,last_purchase
12471.0,18740.92,49,7965,2010-02-12 10:37:00,2011-12-10 11:32:00
15159.0,18573.68,34,11394,2010-12-13 15:44:00,2011-11-21 14:24:00
12678.0,17588.26,13,10899,2010-12-21 11:00:00,2011-10-28 13:04:00
17428.0,17078.45,33,9435,2010-06-12 09:37:00,2011-12-04 10:42:00
13881.0,16989.52,22,10062,2011-01-02 10:14:00,2011-11-28 15:10:00
13767.0,16945.71,52,7258,2010-01-12 10:47:00,2011-11-14 12:22:00
12921.0,16389.74,50,9454,2010-01-12 15:06:00,2011-12-05 19:09:00
12901.0,16293.1,36,20915,2011-01-07 14:18:00,2011-11-29 14:08:00
17677.0,16219.22,43,9725,2010-06-12 08:42:00,2011-11-11 12:53:00
15856.0,16173.67,31,10941,2010-09-12 13:34:00,2011-11-07 14:16:00
15189.0,15802.14,53,6035,2011-01-09 12:34:00,2011-12-04 13:52:00
14051.0,15477.34,26,3741,2010-08-12 12:49:00,2011-11-22 16:31:00
16839.0,15357.78,39,8470,2010-05-12 11:15:00,2011-12-09 14:54:00
14031.0,14634.64,23,5370,2010-02-12 16:34:00,2011-11-18 17:06:00
15513.0,14520.08,22,5545,2010-01-12 11:22:00,2011-12-05 08:42:00
16133.0,14305.66,46,8738,2011-01-08 13:44:00,2011-11-23 09:02:00
14866.0,14197.45,13,6569,2010-08-12 14:58:00,2011-11-29 11:45:00
16705.0,13946.13,29,5458,2010-12-16 10:51:00,2011-12-09 18:25:00
12681.0,13677.59,27,7518,2010-07-12 10:08:00,2011-11-25 11:35:00
12621.0,13612.07,23,7404,2010-09-12 10:16:00,2011-12-05 09:41:00
12433.0,13375.87,7,11071,2010-01-12 13:24:00,2011-11-30 14:05:00
12540.0,13309.039999999999,19,6677,2010-12-13 09:39:00,2011-11-20 11:31:00
12477.0,13117.01,9,3620,2011-01-02 11:09:00,2011-11-17 09:51:00
17735.0,13110.02,19,8439,2010-07-12 10:32:00,2011-08-23 13:50:00
14258.0,12650.08,10,7098,2011-02-14 11:57:00,2011-11-30 15:27:00
15640.0,12433.34,17,6572,2010-02-12 15:40:00,2011-11-23 14:36:00
13078.0,12432.28,43,5557,2010-08-12 09:07:00,2011-12-10 14:48:00
15498.0,12396.46,35,6084,2010-07-12 12:34:00,2011-12-05 12:49:00
16000.0,12393.7,3,5110,2011-07-12 12:14:00,2011-07-12 12:17:00
12682.0,12288.22,31,5575,2010-03-12 13:59:00,2011-12-08 15:22:00
12557.0,11990.960000000001,5,4384,2010-03-12 12:20:00,2011-11-23 16:59:00
16525.0,11895.57,29,6493,2010-08-12 11:31:00,2011-12-01 16:52:00
17340.0,11891.18,16,5902,2010-08-12 15:56:00,2011-11-30 17:12:00
14606.0,11713.85,128,5978,2010-01-12 16:57:00,2011-12-05 10:53:00
12939.0,11581.8,8,4876,2011-02-14 09:47:00,2011-11-03 16:43:00
14607.0,11341.1,17,7998,2011-03-11 14:32:00,2011-11-24 10:35:00
14194.0,11216.75,32,5783,2011-03-18 12:55:00,2011-11-30 17:32:00
15125.0,11117.05,23,5991,2011-02-08 15:48:00,2011-11-14 13:57:00
12409.0,11056.93,7,5543,2011-08-14 14:33:00,2011-10-06 12:19:00
14895.0,11020.26,24,4823,2011-01-21 09:26:00,2011-10-30 14:45:00
12971.0,10930.26,89,9203,2010-02-12 16:42:00,2011-12-01 14:43:00
13340.0,10736.48,7,5770,2011-07-17 13:25:00,2011-10-25 13:15:00
17581.0,10736.11,31,5861,2010-02-12 14:47:00,2011-10-05 13:40:00
13319.0,10664.34,36,4686,2010-07-12 11:47:00,2011-12-09 18:14:00
14769.0,10641.6,10,7406,2010-12-17 11:40:00,2011-09-23 08:21:00
17139.0,10585.57,15,5163,2011-01-11 09:56:00,2011-12-09 13:16:00
13113.0,10510.0,40,2594,2010-08-12 13:07:00,2011-12-05 12:30:00
14062.0,10464.85,12,5593,2010-10-12 15:56:00,2011-11-30 10:04:00
16779.0,10454.05,28,5236,2010-08-12 09:56:00,2011-12-01 10:20:00
17107.0,10380.43,7,4537,2011-05-15 12:21:00,2011-09-25 14:37:00
15615.0,10360.04,27,5493,2010-12-15 16:21:00,2011-11-29 14:42:00
15251.0,10327.11,15,6084,2011-04-08 19:20:00,2011-12-07 15:56:00
16180.0,10217.48,10,5853,2011-01-04 10:23:00,2011-11-08 10:12:00
16843.0,10183.82,17,10154,2011-01-16 16:10:00,2011-12-04 11:34:00
17865.0,10158.539999999999,27,5698,2010-10-12 14:53:00,2011-12-09 14:24:00
17706.0,10097.37,22,3833,2010-08-12 11:02:00,2011-11-07 13:33:00
12590.0,9861.38,3,4279,2011-02-06 14:25:00,2011-12-05 14:52:00
13199.0,9803.960000000001,39,6172,2010-08-12 10:51:00,2011-11-29 14:00:00
13001.0,9797.92,15,5497,2011-01-17 12:45:00,2011-11-17 14:17:00
15078.0,9623.35,38,5069,2010-06-12 12:38:00,2011-11-28 09:40:00
13458.0,9537.92,22,5460,2010-12-15 12:05:00,2011-12-04 13:19:00
14733.0,9451.54,15,3725,2010-07-12 11:30:00,2011-11-30 14:54:00
16523.0,9295.67,28,4233,2011-01-28 12:06:00,2011-11-24 13:53:00
12709.0,9294.1,26,3832,2010-08-12 09:49:00,2011-12-10 12:01:00
14667.0,9231.2,27,5382,2010-06-12 13:13:00,2011-11-29 11:30:00
14367.0,9167.82,19,4410,2011-01-12 13:19:00,2011-11-18 12:09:00
12744.0,9120.39,10,5234,2011-01-25 13:26:00,2011-10-19 11:18:00
12567.0,9114.94,11,4089,2010-05-12 11:57:00,2011-11-17 11:02:00
18092.0,9065.76,12,4250,2010-09-12 10:00:00,2011-12-08 12:37:00
13969.0,8986.69,20,4483,2010-09-12 19:32:00,2011-11-23 08:43:00
12451.0,8933.52,6,6455,2011-01-19 09:05:00,2011-11-29 08:40:00
13488.0,8910.61,17,4512,2010-07-12 13:01:00,2011-12-01 11:52:00
16033.0,8727.61,27,3516,2010-05-12 10:36:00,2011-12-05 12:01:00
13090.0,8689.39,18,2194,2010-02-12 07:48:00,2011-11-20 12:00:00
17243.0,8628.55,30,3362,2010-05-12 10:03:00,2011-11-25 12:29:00
17306.0,8600.73,21,11470,2010-12-21 13:34:00,2011-11-29 12:14:00
17017.0,8574.11,27,6613,2010-02-12 10:17:00,2011-12-10 14:29:00
16656.0,8568.24,21,8873,2010-10-12 11:23:00,2011-12-07 10:21:00
18139.0,8393.22,8,5461,2011-11-21 14:06:00,2011-11-22 16:18:00
16558.0,8257.04,24,5346,2010-08-12 12:01:00,2011-12-04 11:50:00
15358.0,8234.8,29,6927,2010-09-12 10:04:00,2011-12-09 09:57:00
12683.0,8221.09,20,4903,2010-09-12 10:37:00,2011-12-05 11:50:00
14056.0,8124.4,29,4232,2011-02-28 15:19:00,2011-11-24 13:25:00
14936.0,8117.42,9,4083,2011-05-10 08:50:00,2011-11-30 15:07:00
16672.0,8093.59,23,2812,2011-01-09 14:58:00,2011-12-04 13:20:00
13854.0,8025.0199999999995,29,2278,2010-09-12 10:48:00,2011-12-09 15:04:00
18109.0,7925.32,31,4219,2010-05-12 10:58:00,2011-12-06 12:03:00
14952.0,7912.79,15,3295,2010-08-12 11:33:00,2011-12-09 12:48:00
14849.0,7904.28,28,5656,2010-01-12 12:22:00,2011-12-08 11:09:00
12428.0,7877.2,12,3503,2011-01-03 09:33:00,2011-11-14 08:22:00
14796.0,7839.51,27,5942,2010-08-12 09:55:00,2011-11-17 13:30:00
12435.0,7829.889999999999,2,2055,2011-03-17 07:40:00,2011-09-21 09:06:00
15290.0,7803.7699999999995,21,4431,2010-12-15 16:03:00,2011-10-28 12:40:00
13629.0,7792.36,11,4372,2011-01-09 18:54:00,2011-11-16 13:21:00
13093.0,7741.47,13,3943,2010-01-12 15:00:00,2011-12-01 12:49:00
14527.0,7711.38,86,2049,2010-01-12 09:41:00,2011-12-09 18:26:00
17811.0,7677.71,51,4128,2011-01-03 11:36:00,2011-12-09 16:23:00
15044.0,7629.38,22,2786,2010-12-12 14:27:00,2011-12-04 12:56:00
15194.0,7521.17,22,5648,2010-06-12 15:00:00,2011-12-05 19:39:00
18172.0,7490.17,25,3170,2011-01-09 16:50:00,2011-12-05 19:23:00
13263.0,7454.07,35,4780,2011-01-06 15:34:00,2011-12-05 15:32:00
17396.0,7330.8,8,2005,2010-03-12 09:45:00,2011-10-31 14:12:00
18229.0,7276.9,20,2488,2010-01-12 16:25:00,2011-12-10 12:59:00
13018.0,7272.75,29,5434,2011-02-03 17:19:00,2011-11-23 13:28:00
12583.0,7187.34,18,5009,2010-01-12 08:45:00,2011-12-10 14:46:00
16745.0,7170.7,18,6727,2011-01-02 11:31:00,2011-12-08 16:10:00
12474.0,7116.47,30,4764,2010-06-12 12:00:00,2011-12-07 10:25:00
12980.0,7092.06,12,864,2010-12-16 11:36:00,2011-12-01 11:53:00
16729.0,7076.28,26,5769,2011-01-09 16:18:00,2011-12-04 14:22:00
13324.0,7072.8,12,5200,2010-12-14 09:50:00,2011-12-04 16:39:00
16873.0,7066.31,10,3825,2010-10-12 15:45:00,2011-10-13 11:30:00
13985.0,7024.53,16,3439,2011-03-20 13:48:00,2011-12-10 11:45:00
14961.0,7006.58,12,3692,2010-12-14 11:38:00,2011-12-04 16:07:00
12766.0,6989.63,7,3646,2010-08-12 13:53:00,2011-10-13 11:50:00
12798.0,6977.04,3,5256,2011-06-22 10:11:00,2011-11-29 15:52:00
15465.0,6945.0199999999995,24,1217,2010-05-12 10:12:00,2011-12-06 11:07:00
13027.0,6912.0,6,17280,2010-12-20 12:45:00,2011-08-18 09:39:00
12989.0,6854.51,19,2915,2010-10-12 13:24:00,2011-12-09 15:43:00
16187.0,6841.24,17,5004,2011-01-09 09:19:00,2011-12-09 18:19:00
16713.0,6840.2300000000005,21,4264,2010-08-12 12:03:00,2011-12-09 17:21:00
17416.0,6838.34,9,4266,2011-03-03 13:45:00,2011-10-11 12:47:00
12705.0,6814.24,14,3973,2010-12-17 15:58:00,2011-11-24 13:17:00
15023.0,6763.16,12,2863,2010-05-12 13:49:00,2011-10-31 17:13:00
18055.0,6752.14,11,2450,2010-05-12 10:52:00,2011-10-31 12:02:00
16532.0,6748.8,3,2016,2011-05-01 12:37:00,2011-11-22 11:08:00
12830.0,6748.4,7,9847,2011-02-11 11:54:00,2011-09-09 15:02:00
15601.0,6745.36,17,4978,2010-02-12 10:39:00,2011-11-28 15:15:00
13576.0,6703.3,20,2640,2010-01-12 17:24:00,2011-11-29 15:34:00
16746.0,6694.31,19,4662,2010-12-16 11:43:00,2011-12-08 13:40:00
16353.0,6675.71,23,2006,2010-05-12 12:09:00,2011-12-01 10:14:00
16923.0,6666.83,26,3183,2010-12-12 11:06:00,2011-11-27 13:00:00
15249.0,6657.36,15,3557,2011-03-28 12:49:00,2011-12-08 11:08:00
16652.0,6654.26,11,3267,2011-04-13 13:49:00,2011-12-10 09:38:00
16182.0,6617.65,4,3791,2011-01-08 16:41:00,2011-09-28 13:23:00
17338.0,6612.18,10,3123,2010-12-13 12:57:00,2011-12-01 13:40:00
15482.0,6568.72,16,2998,2010-12-16 10:08:00,2011-11-24 10:46:00
12476.0,6546.58,20,2337,2010-12-13 14:37:00,2011-11-24 12:40:00
15144.0,6530.04,18,3026,2011-01-12 15:12:00,2011-12-10 15:39:00
16814.0,6500.6,22,2768,2010-05-12 11:45:00,2011-12-04 13:32:00
15694.0,6423.6,15,1665,2010-02-12 07:49:00,2011-11-14 13:33:00
12431.0,6416.39,18,2868,2010-01-12 10:03:00,2011-12-08 14:19:00
13871.0,6389.8,14,2801,2011-03-24 12:58:00,2011-11-17 10:49:00
12626.0,6388.35,13,3350,2011-01-02 09:38:00,2011-11-16 16:06:00
13102.0,6336.29,27,4160,2010-09-12 13:38:00,2011-11-16 15:01:00
18223.0,6315.23,27,2890,2010-12-16 16:42:00,2011-12-09 17:19:00
16126.0,6287.77,4,2125,2011-02-16 11:18:00,2011-10-11 16:03:00
13709.0,6249.11,17,3501,2011-01-28 14:57:00,2011-12-09 18:15:00
12359.0,6245.53,6,1612,2011-02-12 11:21:00,2011-12-01 12:43:00
12472.0,6229.48,13,4020,2010-01-12 14:33:00,2011-10-19 11:49:00
13668.0,6216.07,29,3637,2010-12-12 12:35:00,2011-11-29 12:50:00
12357.0,6207.67,1,2708,2011-06-11 16:07:00,2011-06-11 16:07:00
17315.0,6204.46,43,3856,2010-12-17 12:19:00,2011-12-05 16:52:00
15005.0,6180.49,35,4204,2010-08-12 14:36:00,2011-11-24 12:25:00
14057.0,6147.4,18,4708,2010-12-14 12:11:00,2011-11-16 10:32:00
14060.0,6135.38,20,5374,2010-02-12 12:11:00,2011-11-17 12:59:00
15939.0,6102.26,16,4725,2011-01-02 12:42:00,2011-12-06 14:48:00
17509.0,6100.74,11,3530,2011-07-10 13:14:00,2011-10-13 12:16:00
13225.0,6083.04,8,3352,2010-12-13 09:49:00,2011-10-10 14:06:00
14101.0,5976.79,6,6942,2011-01-17 13:09:00,2011-09-27 12:28:00
12637.0,5953.25,10,2990,2011-01-20 10:47:00,2011-09-09 11:48:00
15382.0,5927.86,8,4003,2011-02-17 12:01:00,2011-11-25 10:58:00
13097.0,5893.32,14,2341,2010-12-14 15:13:00,2011-09-23 12:58:00
13418.0,5845.44,23,3839,2010-02-12 10:45:00,2011-11-28 10:23:00
14944.0,5842.95,14,2801,2010-12-22 13:13:00,2011-10-11 09:10:00
13209.0,5820.16,11,4232,2010-12-13 10:31:00,2011-09-11 13:54:00
14505.0,5818.7,11,2743,2010-12-12 16:14:00,2011-11-22 15:45:00
13316.0,5815.49,5,6947,2011-02-11 13:40:00,2011-09-21 12:14:00
14415.0,5811.56,18,2973,2010-12-14 13:06:00,2011-11-20 15:52:00
14735.0,5807.69,34,2160,2010-12-16 16:05:00,2011-11-28 12:32:00
15218.0,5756.89,11,3329,2011-01-25 11:20:00,2011-11-29 11:48:00
17686.0,5739.46,7,2478,2011-02-12 15:39:00,2011-11-08 11:44:00
13178.0,5725.47,11,3570,2010-12-14 12:22:00,2011-11-13 16:14:00
12720.0,5713.28,29,4654,2010-05-12 15:21:00,2011-12-07 13:32:00
13050.0,5684.61,28,3707,2010-08-12 09:30:00,2011-11-30 17:28:00
14110.0,5669.65,13,2455,2011-03-05 13:39:00,2011-12-09 09:26:00
16553.0,5664.57,14,4595,2010-08-12 13:07:00,2011-12-04 15:40:00
13468.0,5656.75,41,2581,2010-01-12 15:08:00,2011-12-10 14:10:00
14049.0,5639.15,6,3846,2011-01-26 10:30:00,2011-11-23 12:20:00
13004.0,5613.43,22,4796,2010-12-17 08:20:00,2011-11-28 11:27:00
13534.0,5613.08,43,2876,2010-12-16 15:23:00,2011-11-02 15:43:00
18118.0,5595.77,31,2877,2010-05-12 12:13:00,2011-11-29 11:32:00
17049.0,5594.78,11,2669,2011-01-12 08:43:00,2011-11-18 13:18:00
12481.0,5590.86,11,3290,2010-09-12 10:13:00,2011-11-17 08:29:00
17757.0,5585.49,31,3316,2010-02-12 17:17:00,2011-11-25 17:27:00
12839.0,5583.62,16,3804,2010-07-12 15:48:00,2011-11-28 12:33:00
16767.0,5580.6,11,4435,2011-01-27 13:38:00,2011-10-06 10:49:00
15502.0,5541.46,23,3823,2010-05-12 15:40:00,2011-11-24 12:48:00
17716.0,5505.79,12,3004,2011-03-17 10:38:00,2011-11-17 12:00:00
16985.0,5461.62,11,1830,2010-12-16 10:38:00,2011-12-09 13:38:00
15805.0,5452.17,20,3337,2010-10-12 09:33:00,2011-11-16 16:32:00
16609.0,5450.96,9,2410,2011-01-04 10:11:00,2011-12-07 10:02:00
16265.0,5423.15,11,2627,2010-10-12 10:21:00,2011-11-30 16:41:00
12490.0,5417.93,10,3064,2011-01-14 09:13:00,2011-11-22 11:19:00
17719.0,5367.8,18,2455,2011-02-06 15:48:00,2011-12-09 15:23:00
18225.0,5361.02,17,3206,2010-03-12 10:11:00,2011-11-18 13:16:00
16161.0,5352.97,26,2506,2010-06-12 09:40:00,2011-11-25 12:17:00
13269.0,5315.92,17,3509,2010-05-12 11:51:00,2011-12-09 12:45:00
16303.0,5305.83,4,2621,2011-08-16 11:04:00,2011-11-14 10:49:00
15150.0,5303.97,11,3633,2011-03-08 14:19:00,2011-11-22 12:52:00
17730.0,5288.83,15,3567,2011-01-17 14:49:00,2011-11-14 15:41:00
17850.0,5288.63,35,1693,2010-01-12 08:26:00,2011-10-02 14:38:00
16258.0,5203.51,5,2994,2011-04-05 14:33:00,2011-10-25 13:30:00
18226.0,5192.1,14,3459,2011-01-11 09:57:00,2011-12-01 12:51:00
15727.0,5178.96,7,3065,2010-12-15 15:47:00,2011-12-01 15:06:00
17858.0,5155.66,12,2706,2010-05-12 13:08:00,2011-12-08 16:36:00
12362.0,5154.58,13,2212,2011-02-17 10:30:00,2011-11-28 14:55:00
16701.0,5150.27,18,6211,2010-12-13 11:51:00,2011-12-07 13:49:00
13756.0,5145.12,15,3164,2010-07-12 11:41:00,2011-11-21 14:40:00
15903.0,5126.34,8,2409,2011-02-17 14:04:00,2011-11-30 08:08:00
17061.0,5116.13,12,1484,2011-04-21 13:29:00,2011-09-27 11:24:00
14688.0,5107.38,27,3222,2010-01-12 09:37:00,2011-12-09 18:04:00
18198.0,5083.06,21,3839,2011-02-02 10:06:00,2011-09-29 12:43:00
15046.0,5064.01,16,3307,2011-01-16 13:25:00,2011-11-30 15:50:00
12432.0,5059.32,5,1801,2011-06-20 13:27:00,2011-10-28 11:43:00
13139.0,5055.79,8,2418,2011-03-25 11:57:00,2011-11-23 13:54:00
17602.0,5050.77,8,4135,2011-01-19 16:18:00,2011-11-16 15:58:00
15719.0,5043.96,14,2724,2011-01-09 12:41:00,2011-12-07 09:58:00
16700.0,5040.0,17,4019,2010-08-12 16:34:00,2011-12-07 13:16:00
13599.0,5030.6,33,3169,2010-08-12 10:11:00,2011-12-07 11:12:00
15301.0,5028.12,14,2768,2010-06-12 12:21:00,2011-10-20 09:57:00
17426.0,5022.26,7,3082,2011-01-12 18:03:00,2011-09-09 15:51:00
12444.0,5005.46,5,1155,2011-06-21 14:00:00,2011-12-10 12:08:00
14755.0,4965.38,12,2217,2011-02-16 13:14:00,2011-11-30 11:24:00
15547.0,4954.84,14,4032,2010-12-12 13:26:00,2011-11-09 15:44:00
14329.0,4928.74,14,3075,2011-01-11 09:37:00,2011-11-22 15:50:00
16191.0,4913.32,25,3203,2010-12-14 12:38:00,2011-12-09 17:11:00
13941.0,4912.41,7,2307,2010-02-12 10:17:00,2011-11-18 09:43:00
14709.0,4911.14,14,2482,2010-12-16 13:43:00,2011-11-24 15:41:00
12437.0,4896.66,19,2918,2011-01-31 13:28:00,2011-12-01 14:13:00
17133.0,4892.24,7,2730,2011-02-06 14:46:00,2011-11-24 12:27:00
12688.0,4873.81,1,3028,2011-08-18 08:49:00,2011-08-18 08:49:00
12700.0,4867.99,6,2963,2011-02-12 10:47:00,2011-08-05 16:12:00
12664.0,4863.88,10,1202,2011-01-12 17:07:00,2011-12-10 11:45:00
15786.0,4834.2,5,3331,2011-08-17 13:33:00,2011-10-27 10:53:00
14292.0,4819.33,14,1643,2011-01-17 16:20:00,2011-12-09 12:51:00
17365.0,4801.56,8,4777,2011-03-31 11:25:00,2011-11-27 12:13:00
15738.0,4788.7699999999995,19,2967,2010-02-12 12:50:00,2011-11-21 08:26:00
13013.0,4786.99,15,2217,2010-03-12 12:28:00,2011-12-07 11:10:00
15555.0,4758.2,20,4410,2010-05-12 14:45:00,2011-12-10 15:06:00
17690.0,4748.45,16,1767,2010-01-12 16:15:00,2011-10-25 12:29:00
17652.0,4737.13,18,2479,2011-02-06 12:08:00,2011-11-14 12:55:00
12955.0,4734.26,14,3642,2011-01-12 13:18:00,2011-11-23 10:08:00
16722.0,4711.21,16,4989,2010-06-12 12:59:00,2011-11-22 13:28:00
14562.0,4709.22,22,1670,2011-01-11 14:35:00,2011-11-28 14:39:00
12714.0,4708.86,5,3069,2011-02-18 10:53:00,2011-11-30 15:43:00
14135.0,4690.31,15,3850,2010-02-12 10:27:00,2011-11-01 09:58:00
15152.0,4684.24,16,2694,2011-03-08 15:14:00,2011-11-30 12:32:00
14159.0,4678.3,14,4395,2010-12-12 11:17:00,2011-11-20 12:36:00
15187.0,4670.08,18,1869,2011-01-12 08:57:00,2011-11-24 13:28:00
14191.0,4660.01,14,3657,2011-01-11 14:49:00,2011-11-29 17:23:00
14180.0,4640.7699999999995,31,710,2010-02-12 13:08:00,2011-11-29 10:56:00
17809.0,4627.62,15,2015,2010-01-12 09:41:00,2011-11-23 13:00:00
14189.0,4604.31,24,3919,2010-06-12 11:42:00,2011-11-30 16:44:00
16931.0,4604.22,21,3158,2010-05-12 11:40:00,2011-11-20 14:43:00
15291.0,4596.51,20,2074,2010-01-12 09:32:00,2011-12-06 11:41:00
14286.0,4595.81,5,4306,2011-10-25 08:26:00,2011-12-09 15:35:00
14390.0,4592.47,13,2125,2010-02-12 11:56:00,2011-12-05 17:03:00
14004.0,4582.64,7,2668,2011-02-09 13:50:00,2011-10-27 14:40:00
17068.0,4531.34,22,2154,2010-06-12 13:58:00,2011-11-27 13:14:00
17613.0,4509.37,17,2470,2011-01-04 09:06:00,2011-11-17 10:51:00
12484.0,4495.27,8,2185,2011-03-10 15:41:00,2011-08-31 09:44:00
12524.0,4485.72,8,3699,2011-01-05 13:18:00,2011-11-30 15:31:00
12627.0,4478.53,7,2752,2011-02-08 09:29:00,2011-11-29 12:07:00
15032.0,4464.1,5,2668,2010-08-12 12:57:00,2011-03-28 15:30:00
17364.0,4455.73,12,2680,2011-01-20 17:06:00,2011-12-01 16:57:00
14085.0,4435.79,19,3183,2010-06-12 12:39:00,2011-11-30 16:54:00
15093.0,4410.14,9,3733,2010-02-12 18:25:00,2011-11-21 13:09:00
13267.0,4404.44,27,1939,2010-08-12 09:20:00,2011-12-01 12:00:00
17975.0,4393.61,14,1552,2010-08-12 11:38:00,2011-11-24 13:27:00
16984.0,4392.42,5,2408,2011-01-08 17:37:00,2011-12-09 14:00:00
15955.0,4389.81,16,2124,2010-02-12 11:22:00,2011-11-15 14:15:00
16626.0,4379.65,20,2670,2011-02-10 11:30:00,2011-11-17 15:41:00
12752.0,4366.78,1,2262,2011-09-19 13:32:00,2011-09-19 13:32:00
16945.0,4345.5,19,2725,2010-12-16 17:49:00,2011-12-10 15:42:00
15874.0,4330.67,9,2506,2011-02-28 13:28:00,2011-08-04 12:17:00
14016.0,4328.46,5,2124,2010-12-17 14:21:00,2011-08-07 14:27:00
18251.0,4314.72,1,7824,2011-09-13 15:03:00,2011-09-13 15:03:00
12347.0,4310.0,7,2458,2010-07-12 14:57:00,2011-10-31 12:25:00
17937.0,4301.22,7,1754,2010-12-12 14:43:00,2011-08-17 12:10:00
13505.0,4282.88,8,2461,2011-02-08 16:26:00,2011-09-28 11:56:00
15034.0,4277.66,11,2411,2010-12-21 09:47:00,2011-11-24 12:11:00
14422.0,4263.64,6,2906,2011-03-17 17:26:00,2011-11-22 14:59:00
12712.0,4241.63,17,1044,2010-03-12 14:30:00,2011-12-01 11:46:00
14800.0,4236.34,16,3634,2010-05-12 11:10:00,2011-11-10 11:02:00
12757.0,4227.7,19,2385,2011-03-08 10:43:00,2011-12-05 19:04:00
14525.0,4221.37,13,2662,2010-12-13 17:40:00,2011-11-20 11:37:00
12500.0,4206.2699999999995,13,2671,2011-02-17 12:23:00,2011-11-16 16:20:00
17920.0,4204.1,17,2516,2010-01-12 11:49:00,2011-11-28 10:46:00
17419.0,4200.97,14,1872,2010-07-12 15:03:00,2011-11-28 13:47:00
15971.0,4199.85,12,1717,2011-01-02 16:47:00,2011-12-09 10:47:00
12747.0,4196.01,11,1275,2010-05-12 15:38:00,2011-11-17 17:13:00
18041.0,4161.14,22,3810,2010-02-12 11:21:00,2011-11-28 11:39:00
16549.0,4154.64,10,2365,2011-07-08 15:43:00,2011-11-29 15:06:00
13555.0,4149.28,4,2660,2011-05-22 11:06:00,2011-09-27 12:36:00
12949.0,4143.02,10,2363,2011-01-04 13:20:00,2011-09-11 11:25:00
13384.0,4122.28,9,2415,2011-03-08 09:40:00,2011-10-25 15:39:00
15570.0,4109.97,13,2058,2010-05-12 12:57:00,2011-11-29 15:24:00
